"Número de série do chip","Número de telefone do chip","IMSI do chip","Lote do chip","Operadora do chip","Provedor de serviço do chip","Origem Softruck do chip","Data de criação do chip","Data de atualização do chip","Última origem de integração do chip","Última data de integração do chip","Nome do dispositivo","IMEI do dispositivo","Código do dispositivo","Nome da empresa","CNPJ da empresa","Nome da tag"
"89550680237002175266","5562998085877","-","-","Transmeet","Vivo","Verdadeiro","22/11/2017, 08:43:04","22/11/2017, 08:43:04","-","-","007042997","356430070429971","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680137002872740","5562996319541","-","-","Transmeet","Vivo","Verdadeiro","15/01/2018, 13:57:54","26/03/2019, 11:37:18","-","-","007098055","356430070980551","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680137002875792","5562999105201","-","-","Transmeet","Vivo","Verdadeiro","15/01/2018, 13:57:54","15/01/2018, 13:57:54","-","-","007101190","356430071011901","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680137002873862","5562996852775","-","-","Transmeet","Vivo","Verdadeiro","15/01/2018, 13:57:54","15/01/2018, 13:57:54","-","-","007100964","356430071009640","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680137002875776","5562999097238","-","-","Transmeet","Vivo","Verdadeiro","15/01/2018, 13:57:54","15/01/2018, 13:57:54","-","-","007101417","356430071014178","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100057038255","5516994954145","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","354778343401439","354778343401439","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050050778","5516990624073","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232051542927","867232051542927","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100017422656","5516990416293","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","863844051610852","863844051610852","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100017422607","5516990419431","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","865205039418644","865205039418644","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100036342950","5516995707558","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232053159324","867232053159324","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002171208","5562999138701","-","-","Transmeet","Vivo","Verdadeiro","14/12/2017, 14:12:08","14/12/2017, 14:12:08","-","-","007063190","356430070631907","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002178567","5562999097437","-","-","Transmeet","Vivo","Falso","22/11/2017, 08:43:04","22/11/2017, 08:43:04","-","-","007039403","356430070394035","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002177775","5562996797534","-","-","Transmeet","Vivo","Verdadeiro","22/11/2017, 08:43:04","22/11/2017, 08:43:04","-","-","007039452","356430070394522","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002178005","5562996803653","-","-","Transmeet","Vivo","Verdadeiro","22/11/2017, 08:43:04","22/11/2017, 08:43:04","-","-","007039393","356430070393938","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002192832","5562998207457","-","-","Transmeet","Vivo","Verdadeiro","14/12/2017, 14:12:08","14/12/2017, 14:12:08","-","-","007063169","356430070631691","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551025142007645150","5511996670045","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007066391","356430070663918","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551025142007645937","5511999513032","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007075805","356430070758056","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047474057","5516990969648","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","13/02/2025, 12:53:58","-","-","867232053182755","867232053182755","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337002578958","5511975396911","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007194578","356430071945785","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764471","5511950922280","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027854223","862193027854223","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157003509801","5531972537984","-","-","Vivo","Vivo","Verdadeiro","17/06/2024, 08:43:56","17/06/2024, 08:45:56","-","-","807649528","356428076495285","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157003509769","5531972482158","-","-","Vivo","Vivo","Verdadeiro","17/06/2024, 08:43:56","17/06/2024, 08:45:56","-","-","807650334","356428076503344","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157003509918","5531972648991","-","-","Vivo","Vivo","Verdadeiro","17/06/2024, 08:43:56","17/06/2024, 08:45:56","-","-","807649506","356428076495061","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157003509900","5531972648706","-","-","Vivo","Vivo","Verdadeiro","17/06/2024, 08:43:56","17/06/2024, 08:45:56","-","-","807652283","356428076522831","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157003509876","5531972603546","-","-","Vivo","Vivo","Verdadeiro","17/06/2024, 08:43:56","17/06/2024, 08:45:56","-","-","807652272","356428076522724","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002179847","5562999524386","-","-","Transmeet","Vivo","Verdadeiro","22/11/2017, 08:43:04","22/11/2017, 08:43:04","-","-","007047369","356430070473698","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551181142000290582","5581981030894","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007067840","356430070678403","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89550680237002191644","5562999139570","-","-","Transmeet","Vivo","Verdadeiro","14/12/2017, 14:12:08","14/12/2017, 14:12:08","-","-","007063194","356430070631949","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337002576176","5511943560820","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007184456","356430071844566","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764109","5511950911784","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840552","862193027840552","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764166","5511950912429","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027852235","862193027852235","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764463","5511950921898","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840958","862193027840958","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764489","5511950924015","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027844349","862193027844349","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437000792583","5511950306917","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007282844","356430072828444","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551181142000290665","5581981077169","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007067858","356430070678585","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764216","5511950912601","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840586","862193027840586","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437000792211","5511943650492","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007276255","356430072762551","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764323","5511950913784","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027857739","862193027857739","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764604","5511950929520","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840909","862193027840909","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764190","5511950912476","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840388","862193027840388","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764224","5511950912742","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840834","862193027840834","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764455","5511950921520","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840891","862193027840891","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764596","5511950929441","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027841063","862193027841063","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764497","5511950924225","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027846161","862193027846161","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764539","5511950924559","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840545","862193027840545","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764547","5511950924639","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027859842","862193027859842","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437001139834","5511975154769","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007277123","356430072771230","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157004931467","5531997103514","-","-","Vivo","Vivo","Verdadeiro","24/09/2024, 10:15:13","07/10/2024, 08:34:23","-","-","807800829","356428078008292","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"867232051480607","551699758261","-","-","-","M2DATA","Falso","17/04/2024, 11:13:34","17/04/2024, 11:13:34","-","-","867232051480607","867232051480607","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157004320992","5531996918684","-","-","Vivo","Vivo","Verdadeiro","25/06/2024, 18:20:30","17/07/2024, 11:09:25","-","-","807632746","356428076327462","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157004321073","5531996927692","-","-","Vivo","Vivo","Verdadeiro","25/06/2024, 18:20:30","17/07/2024, 11:09:25","-","-","807634582","356428076345829","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89552380157004321081","5531996929992","-","-","Vivo","Vivo","Verdadeiro","25/06/2024, 18:20:30","17/07/2024, 11:09:25","-","-","807632530","356428076325300","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
